date,split,exercise,set no.,weight,reps
2022-02-08,back_and_biceps,wide_grip_pullup,1,'0 kg',5
2022-02-08,back_and_biceps,wide_grip_pullup,2,'0 kg',5
2022-02-08,back_and_biceps,chinup,1,'0 kg',5
2022-02-08,back_and_biceps,chinup,2,'0 kg',5
2022-02-08,back_and_biceps,seated_row,1,'52 kg',10
2022-02-08,back_and_biceps,seated_row,2,'52 kg',10
2022-02-08,back_and_biceps,seated_row,3,'45 kg',10
2022-02-08,back_and_biceps,seated_row,4,'45 kg',10
2022-02-08,back_and_biceps,lat_pulldown,1,'66 kg',10
2022-02-08,back_and_biceps,lat_pulldown,2,'66 kg',10
2022-02-08,back_and_biceps,lat_pulldown,3,'66 kg',10
2022-02-08,back_and_biceps,lat_pulldown,4,'66 kg',10
2022-02-08,back_and_biceps,face_pull,1,'36 kg',10
2022-02-08,back_and_biceps,face_pull,2,'36 kg',10
2022-02-08,back_and_biceps,face_pull,3,'36 kg',10
2022-02-08,back_and_biceps,face_pull,4,'36 kg',10
2022-02-08,back_and_biceps,barbell_curl,1,'35 kg',8
2022-02-08,back_and_biceps,barbell_curl,2,'25 kg',8
