date,split,exercise,set no.,weight,reps
2021-12-13,chest,barbell_bench_press,1,'70 kg',5
2021-12-13,chest,barbell_bench_press,2,'70 kg',5
2021-12-13,chest,barbell_bench_press,3,'60 kg',12
2021-12-13,chest,cable_crossover,1,'36 kg',15
2021-12-13,chest,cable_crossover,2,'46 kg',12
2021-12-13,chest,cable_crossover,3,'54 kg',10
2021-12-13,chest,incline_dumbbell_press,1,'52 kg',2
2021-12-13,chest,incline_dumbbell_press,2,'36 kg',8
2021-12-13,chest,incline_dumbbell_press,3,'32 kg',12
2021-12-13,chest,cable_crossover_low_high,1,'22 kg',12
2021-12-13,chest,cable_crossover_low_high,2,'22 kg',9
2021-12-13,chest,cable_crossover_low_high,3,'18 kg',10
2021-12-13,chest,dip,1,'0 kg',5
2021-12-13,chest,dip,2,'0 kg',5
2021-12-13,chest,dip,3,'0 kg',5
2021-12-13,chest,cable_crossover_high_low,1,'36 kg',12
2021-12-13,chest,cable_crossover_high_low,2,'36 kg',10
2021-12-13,chest,cable_crossover_high_low,3,'36 kg',10
