date,split,exercise,set no.,weight,reps
2022-02-05,legs_and_abs,squat,1,'100 kg',3
2022-02-05,legs_and_abs,squat,2,'90 kg',5
2022-02-05,legs_and_abs,squat,3,'80 kg',5
2022-02-05,legs_and_abs,squat,4,'80 kg',5
2022-02-05,legs_and_abs,deadlift,1,'100 kg',5
2022-02-05,legs_and_abs,deadlift,2,'90 kg',5
2022-02-05,legs_and_abs,deadlift,3,'80 kg',5
2022-02-05,legs_and_abs,deadlift,4,'70 kg',5
2022-02-05,legs_and_abs,leg_extention,1,'73 kg',15
2022-02-05,legs_and_abs,leg_extention,2,'73 kg',12
2022-02-05,legs_and_abs,leg_extention,3,'73 kg',10
2022-02-05,legs_and_abs,standing_calf_raise,1,'60 kg',10
2022-02-05,legs_and_abs,standing_calf_raise,2,'60 kg',10
2022-02-05,legs_and_abs,standing_calf_raise,3,'40 kg',12
2022-02-05,legs_and_abs,standing_calf_raise,4,'40 kg',12
2022-02-05,legs_and_abs,legpress,1,'150 kg',10
2022-02-05,legs_and_abs,legpress,2,'150 kg',10
2022-02-05,legs_and_abs,legpress,3,'150 kg',10
2022-02-05,legs_and_abs,legpress,4,'150 kg',10
2022-02-05,legs_and_abs,twisting_leg_raise,1,'0 kg',30
2022-02-05,legs_and_abs,twisting_leg_raise,2,'0 kg',20
2022-02-05,legs_and_abs,twisting_leg_raise,3,'0 kg',20
2022-02-05,legs_and_abs,swiss_ball_crunch,1,'0 kg',16
2022-02-05,legs_and_abs,swiss_ball_crunch,2,'0 kg',15
2022-02-05,legs_and_abs,swiss_ball_crunch,3,'0 kg',15
