date,split,exercise,set no.,weight,reps
2021-12-25,legs,squat,1,'80 kg',5
2021-12-25,legs,squat,2,'80 kg',5
2021-12-25,legs,squat,3,'80 kg',5
2021-12-25,legs,squat,4,'80 kg',5
2021-12-25,legs,deadlift,1,'60 kg',5
2021-12-25,legs,deadlift,2,'60 kg',5
2021-12-25,legs,deadlift,3,'60 kg',5
2021-12-25,legs,deadlift,4,'60 kg',5
2021-12-25,legs,legpress,1,'70 kg',12
2021-12-25,legs,legpress,2,'90 kg',10
2021-12-25,legs,legpress,3,'120 kg',10
2021-12-25,legs,legpress,4,'140 kg',10
2021-12-25,legs,standing_calf_raise,1,'50 kg',10
2021-12-25,legs,standing_calf_raise,2,'50 kg',10
2021-12-25,legs,standing_calf_raise,3,'50 kg',10
2021-12-25,legs,standing_calf_raise,4,'50 kg',8
2021-12-25,legs,walking_barbell_lunge,1,'40 kg',20
2021-12-25,legs,walking_barbell_lunge,2,'40 kg',20
