date,split,exercise,set no.,weight,reps
2022-02-03,shoulders,military_press,1,'35 kg',12
2022-02-03,shoulders,military_press,2,'35 kg',8
2022-02-03,shoulders,military_press,3,'35 kg',8
2022-02-03,shoulders,military_press,4,'35 kg',6
2022-02-03,shoulders,cable_side_lateral,1,'10 kg',10
2022-02-03,shoulders,cable_side_lateral,2,'7.5 kg',12
2022-02-03,shoulders,cable_side_lateral,3,'7.5 kg',12
2022-02-03,shoulders,cable_side_lateral,4,'7.5 kg',10
2022-02-03,shoulders,dumbbell_side_lateral,1,'18 kg',12
2022-02-03,shoulders,dumbbell_side_lateral,2,'18 kg',10
2022-02-03,shoulders,dumbbell_side_lateral,3,'18 kg',10
2022-02-03,shoulders,dumbbell_front_lateral_raise,1,'12 kg',10
2022-02-03,shoulders,dumbbell_front_lateral_raise,2,'12 kg',10
2022-02-03,shoulders,dumbbell_front_lateral_raise,3,'12 kg',8
2022-02-03,shoulders,dumbbell_front_lateral_raise,4,'12 kg',8
2022-02-03,shoulders,dumbbell_rear_lateral_raise,1,'12 kg',12
2022-02-03,shoulders,dumbbell_rear_lateral_raise,2,'12 kg',10
2022-02-03,shoulders,dumbbell_rear_lateral_raise,3,'12 kg',10
2022-02-03,shoulders,barbell_shrug,1,'45 kg',12
2022-02-03,shoulders,barbell_shrug,2,'45 kg',12
2022-02-03,shoulders,barbell_shrug,3,'45 kg',12
