Sun Oct  6 18:05:56 2024    stats/get_all_durations.stats

         1235608 function calls (1226953 primitive calls) in 0.370 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.370    0.370 get_workout_duration.py:47(get_all_durations)
        1    0.000    0.000    0.366    0.366 get_workout_duration.py:20(get_data)
        1    0.000    0.000    0.366    0.366 __init__.py:117(safe_load)
        1    0.001    0.001    0.366    0.366 __init__.py:74(load)
        1    0.000    0.000    0.365    0.365 constructor.py:47(get_single_data)
        1    0.000    0.000    0.347    0.347 composer.py:29(get_single_node)
        1    0.000    0.000    0.347    0.347 composer.py:50(compose_document)
   7503/1    0.009    0.000    0.347    0.347 composer.py:63(compose_node)
    962/1    0.004    0.000    0.347    0.347 composer.py:117(compose_mapping_node)
    22663    0.008    0.000    0.316    0.000 parser.py:94(check_event)
      296    0.001    0.000    0.288    0.001 composer.py:99(compose_sequence_node)
    57442    0.027    0.000    0.253    0.000 scanner.py:113(check_token)
    10423    0.014    0.000    0.180    0.000 scanner.py:156(fetch_more_tokens)
     3325    0.003    0.000    0.138    0.000 parser.py:446(parse_block_mapping_value)
     4287    0.004    0.000    0.121    0.000 parser.py:427(parse_block_mapping_key)
     6018    0.004    0.000    0.111    0.000 scanner.py:668(fetch_plain)
     6018    0.023    0.000    0.099    0.000 scanner.py:1270(scan_plain)
     7503    0.014    0.000    0.075    0.000 parser.py:273(parse_node)
     6650    0.002    0.000    0.066    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
    92597    0.033    0.000    0.059    0.000 scanner.py:145(need_more_tokens)
     1148    0.001    0.000    0.045    0.000 parser.py:402(parse_indentless_sequence_entry)
     7059    0.015    0.000    0.043    0.000 scanner.py:1311(scan_plain_spaces)
    48384    0.035    0.000    0.038    0.000 reader.py:99(forward)
    10423    0.008    0.000    0.022    0.000 scanner.py:752(scan_to_next_token)
   175882    0.020    0.000    0.020    0.000 reader.py:87(peek)
    95900    0.020    0.000    0.020    0.000 scanner.py:279(stale_possible_simple_keys)
        1    0.000    0.000    0.018    0.018 constructor.py:54(construct_document)
    15673    0.006    0.000    0.018    0.000 scanner.py:135(get_token)
1924/1815    0.000    0.000    0.016    0.000 constructor.py:410(construct_yaml_map)
    26174    0.011    0.000    0.016    0.000 reader.py:114(get_mark)
     3325    0.007    0.000    0.015    0.000 scanner.py:545(fetch_value)
      962    0.000    0.000    0.015    0.000 constructor.py:215(construct_mapping)
      962    0.001    0.000    0.015    0.000 parser.py:422(parse_block_mapping_first_key)
     6245    0.005    0.000    0.014    0.000 composer.py:88(compose_scalar_node)
      962    0.002    0.000    0.013    0.000 constructor.py:132(construct_mapping)
     7503    0.006    0.000    0.012    0.000 constructor.py:67(construct_object)
      853    0.000    0.000    0.011    0.000 parser.py:264(parse_block_node)
    85477    0.009    0.000    0.009    0.000 scanner.py:264(next_possible_simple_key)
    13748    0.004    0.000    0.009    0.000 scanner.py:1416(scan_line_break)
     6245    0.005    0.000    0.008    0.000 scanner.py:295(save_possible_simple_key)
    20410    0.007    0.000    0.008    0.000 reader.py:94(prefix)
     9059    0.002    0.000    0.008    0.000 scanner.py:125(peek_token)
   121954    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
     7503    0.005    0.000    0.007    0.000 resolver.py:143(resolve)
    26174    0.005    0.000    0.005    0.000 error.py:6(__init__)
       54    0.000    0.000    0.004    0.000 get_workout_duration.py:27(get_workout_duration)
      108    0.000    0.000    0.004    0.000 {built-in method strptime}
    10424    0.003    0.000    0.003    0.000 scanner.py:325(unwind_indent)
76943/76924    0.003    0.000    0.003    0.000 {built-in method builtins.len}
     6245    0.002    0.000    0.003    0.000 constructor.py:173(construct_scalar)
      852    0.001    0.000    0.003    0.000 scanner.py:484(fetch_block_entry)
     4541    0.001    0.000    0.003    0.000 constructor.py:402(construct_yaml_str)
      4/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1167(_find_and_load)
      4/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
      4/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:666(_load_unlocked)
      3/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:934(exec_module)
      226    0.000    0.000    0.003    0.000 scanner.py:651(fetch_single)
      227    0.000    0.000    0.003    0.000 scanner.py:657(fetch_flow_scalar)
     1704    0.001    0.000    0.002    0.000 constructor.py:237(construct_yaml_int)
      227    0.000    0.000    0.002    0.000 scanner.py:1134(scan_flow_scalar)
    37595    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      8/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      3/1    0.000    0.000    0.002    0.002 {built-in method builtins.exec}
        1    0.000    0.000    0.002    0.002 _strptime.py:1(<module>)
     6018    0.001    0.000    0.002    0.000 scanner.py:731(check_plain)
    25100    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      592    0.000    0.000    0.002    0.000 constructor.py:405(construct_yaml_seq)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
      296    0.000    0.000    0.002    0.000 constructor.py:124(construct_sequence)
      296    0.000    0.000    0.002    0.000 constructor.py:129(<listcomp>)
       28    0.000    0.000    0.001    0.000 reader.py:146(update)
       18    0.000    0.000    0.001    0.000 reader.py:177(update_raw)
       18    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     6245    0.001    0.000    0.001    0.000 events.py:65(__init__)
     6245    0.001    0.000    0.001    0.000 nodes.py:27(__init__)
     9427    0.001    0.000    0.001    0.000 tokens.py:3(__init__)
      228    0.000    0.000    0.001    0.000 scanner.py:1185(scan_flow_scalar_non_spaces)
      962    0.001    0.000    0.001    0.000 constructor.py:180(flatten_mapping)
     5853    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
     6245    0.001    0.000    0.001    0.000 tokens.py:98(__init__)
     3325    0.001    0.000    0.001    0.000 scanner.py:721(check_value)
     8765    0.001    0.000    0.001    0.000 parser.py:114(get_event)
        3    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     6245    0.001    0.000    0.001    0.000 constructor.py:117(construct_scalar)
      108    0.000    0.000    0.001    0.000 _strptime.py:565(_strptime_datetime)
     7503    0.001    0.000    0.001    0.000 parser.py:107(peek_event)
      108    0.000    0.000    0.001    0.000 _strptime.py:309(_strptime)
    12396    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     4178    0.001    0.000    0.001    0.000 scanner.py:312(remove_possible_simple_key)
     7503    0.001    0.000    0.001    0.000 resolver.py:114(ascend_resolver)
     7503    0.001    0.000    0.001    0.000 resolver.py:91(descend_resolver)
     3325    0.001    0.000    0.001    0.000 scanner.py:38(__init__)
     4177    0.001    0.000    0.001    0.000 scanner.py:349(add_indent)
     3325    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
    10340    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.001    0.000 __init__.py:225(compile)
       10    0.000    0.000    0.001    0.000 __init__.py:272(_compile)
        4    0.000    0.000    0.001    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.000    0.000 locale.py:1(<module>)
     6292    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1258    0.000    0.000    0.000    0.000 events.py:22(__init__)
        1    0.000    0.000    0.000    0.000 _strptime.py:173(__init__)
        1    0.000    0.000    0.000    0.000 loader.py:33(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 reader.py:59(__init__)
        1    0.000    0.000    0.000    0.000 reader.py:122(determine_encoding)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        4    0.000    0.000    0.000    0.000 _parser.py:970(parse)
     10/4    0.000    0.000    0.000    0.000 _parser.py:447(_parse_sub)
      852    0.000    0.000    0.000    0.000 scanner.py:706(check_block_entry)
     13/4    0.000    0.000    0.000    0.000 _parser.py:507(_parse)
     4288    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
     1258    0.000    0.000    0.000    0.000 nodes.py:36(__init__)
       17    0.000    0.000    0.000    0.000 reader.py:138(check_printable)
       17    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     1258    0.000    0.000    0.000    0.000 {built-in method builtins.next}
     3411    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     3325    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
