Sat Jan 21 13:14:46 2023    stats/get_workout_duration.stats

         3109 function calls (3026 primitive calls) in 0.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 get_workout_duration.py:19(get_all_durations)
        2    0.000    0.000    0.005    0.003 get_workout_duration.py:13(get_workout_duration)
        4    0.000    0.000    0.005    0.001 {built-in method strptime}
      4/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1167(_find_and_load)
      4/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
      4/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:666(_load_unlocked)
      3/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:934(exec_module)
      8/2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      3/1    0.000    0.000    0.004    0.004 {built-in method builtins.exec}
        1    0.000    0.000    0.004    0.004 _strptime.py:1(<module>)
       10    0.000    0.000    0.002    0.000 __init__.py:225(compile)
       10    0.000    0.000    0.001    0.000 __init__.py:272(_compile)
        4    0.000    0.000    0.001    0.000 _compiler.py:738(compile)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.001    0.001 locale.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _strptime.py:173(__init__)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        3    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        4    0.000    0.000    0.001    0.000 _parser.py:970(parse)
     10/4    0.000    0.000    0.001    0.000 _parser.py:447(_parse_sub)
     13/4    0.000    0.000    0.001    0.000 _parser.py:507(_parse)
        4    0.000    0.000    0.001    0.000 _strptime.py:565(_strptime_datetime)
        4    0.000    0.000    0.001    0.000 _strptime.py:309(_strptime)
        4    0.000    0.000    0.001    0.000 _strptime.py:238(pattern)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        4    0.000    0.000    0.000    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.000    0.000 _strptime.py:261(compile)
        1    0.000    0.000    0.000    0.000 _strptime.py:49(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
     18/4    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       92    0.000    0.000    0.000    0.000 _parser.py:252(get)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        3    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       12    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        4    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        1    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
